sulfate,sulfate_binary,TWI,precip. seasonality,precip. driest quarter,precip. warmest quarter,precip. coldest quarter,annual precipitation,annual mean temperature,coastline distance,N fertilizer use,land subsidence,soil pH,population density,volcano distance,water table depth,land use-urban,sedimentary rock
2376.6863,1,0.841648995,0.474607122,0.008568526,0.04875268,0.001533517,0.035762959,0.68932318,0.769732545,0.009551243,0.6,0.565217391,0.000902663,0.01431,5.72E-17,0,1
2326.4736,1,0.882372268,0.273554591,0.030878894,0.031036678,0.003806013,0.033135878,0.766732672,0.835725252,0.0032469,0.4,0.637681159,0.000160026,0.045307755,0.01187851,0,1
2320,1,0.702106395,0.397632747,0.000473054,0.000275268,0.008139019,0.015593858,0.641000444,0.529937818,9.96E-05,0.2,0.637681159,5.83E-05,0.069951043,0.008360081,0,1
2309.82544,1,0.847021225,0.277327955,0.007183684,0.015511743,0.001642421,0.011583602,0.712346684,0.70422994,2.75E-06,0.2,0.710144928,7.60E-05,0.029891976,0.015313639,0,0
2300,1,0.807702166,0.218711329,0.024736842,0.01866251,0.00281558,0.021127057,0.671369891,0.672565467,0.000256148,0.4,0.637681159,0,0.051747653,0.003303533,0,1
2300,1,0.678563869,0.13633209,0.077316838,0.031126994,0.008616963,0.043819308,0.68576475,0.791863492,0.000721113,0.4,0.565217391,3.01E-05,0.091407955,0.00868458,0,1
2294,1,0.723616986,0.285255173,0.016229842,0.019795883,0.001808816,0.015823975,0.489106839,0.513720042,0.002141804,0.2,0.507246377,0,0.053082604,0.019997081,0,1
2290,1,0.687255291,0.13797353,0.078186316,0.029687591,0.008713867,0.043282469,0.687789268,0.794025703,0.000835641,0.2,0.594202899,1.35E-05,0.09279743,0.029080221,0,1
2253,1,0.85106383,0.507022331,0.012730369,0.02347057,0.00224001,0.022856278,0.763942649,0.555101432,0.03366644,0.8,0.652173913,0.002062907,0.07915001,0.03806442,0,1
2227.3164,1,0.863031915,0.234930939,0.012087053,0.018303567,0.002170343,0.014169922,0.717514395,0.702069467,0.000138819,0.2,0.695652174,3.85E-06,0.033922219,0.015503976,0,1
2210,1,0.765957447,0.396480576,0.005263158,0.025094085,0.00342456,0.044901298,0.833910156,0.841411149,0.008616293,0.4,0.483091787,0.003247982,0.054233878,0.003145103,0,1
2201.9302,1,0.682234013,0.3216985,0.009562632,0.020730357,0.001583763,0.014413269,0.713576187,0.725388331,0.000208491,0.4,0.724637681,1.03E-05,0.02325673,0.040447809,0,1
2160,1,0.782936177,0.05873987,0.097894737,0.036946941,0.011599132,0.04778475,0.531237914,0.703021883,0.006371147,0.4,0.492753623,0.000218735,0.277343142,0.002141862,0,1
2115,1,0.841106334,0.520893315,0.012471632,0.026251667,0.001934995,0.024473619,0.775070184,0.595570688,0.020359648,0.8,0.647342995,0.002562062,0.085623019,0.02179537,0,1
2114,1,0.56513831,0.137837049,0.028082053,0.010128342,0.006756276,0.020892375,0.582871282,0.808266759,0.017207619,0.4,0.608695652,3.94E-05,0.076113717,0.010514545,0,1
2110,1,0.675265941,0.384939618,0.009017368,0.002638866,0.007691635,0.018049019,0.600842328,0.515894411,2.99E-05,0.6,0.637681159,0.000449619,0.014922451,0.004588848,0,1
2103,1,0.848936203,0.529317611,0.015789474,0.031783126,0.00252229,0.030226786,0.769380805,0.577833265,0.024009353,0.8,0.739130435,0.005917229,0.080064899,0.023649522,0,1
2092.2222,1,0.921617062,0.341038889,0.004737642,0.016348071,0.0011147,0.011308978,0.713815571,0.730036119,5.44E-05,0.6,0.782608696,1.34E-05,0.02223618,0.022568797,0,1
2070,1,0.795883016,0.064702645,0.096270527,0.035950419,0.011842797,0.048636723,0.533555933,0.71431539,0.004734164,0.4,0.405797101,0.002281612,0.284192793,0.001453488,0,1
2027.4,1,0.282056362,0.397129453,0.014175737,0.058253407,0.001749331,0.066899964,0.730156647,0.828037862,0.006748171,0.2,0.420289855,0.001087133,0.010706384,0.014293709,0,1
